"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"1997","European Union (27 countries)","Crude divorce rate","1.8",""
"1998","European Union (27 countries)","Crude divorce rate","1.8","b"
"1999","European Union (27 countries)","Crude divorce rate","1.8",""
"2000","European Union (27 countries)","Crude divorce rate","1.8",""
"2001","European Union (27 countries)","Crude divorce rate","1.9",""
"2002","European Union (27 countries)","Crude divorce rate","1.9",""
"2003","European Union (27 countries)","Crude divorce rate","2.0",""
"2004","European Union (27 countries)","Crude divorce rate","2.0",""
"2005","European Union (27 countries)","Crude divorce rate","2.1",""
"2006","European Union (27 countries)","Crude divorce rate","2.1",""
"2007","European Union (27 countries)","Crude divorce rate","2.1",""
"2008","European Union (27 countries)","Crude divorce rate","2.0",""
"2009","European Union (27 countries)","Crude divorce rate","1.9",""
"2010","European Union (27 countries)","Crude divorce rate","2.0",""
"2011","European Union (27 countries)","Crude divorce rate",":",""
"2012","European Union (27 countries)","Crude divorce rate",":",""
"1960","Euro area (18 countries)","Crude divorce rate",":",""
"1961","Euro area (18 countries)","Crude divorce rate",":",""
"1962","Euro area (18 countries)","Crude divorce rate",":",""
"1963","Euro area (18 countries)","Crude divorce rate",":",""
"1964","Euro area (18 countries)","Crude divorce rate","0.6",""
"1965","Euro area (18 countries)","Crude divorce rate","0.6",""
"1966","Euro area (18 countries)","Crude divorce rate","0.6",""
"1967","Euro area (18 countries)","Crude divorce rate","0.6",""
"1968","Euro area (18 countries)","Crude divorce rate","0.7",""
"1969","Euro area (18 countries)","Crude divorce rate","0.7",""
"1970","Euro area (18 countries)","Crude divorce rate","0.7",""
"1971","Euro area (18 countries)","Crude divorce rate","0.8",""
"1972","Euro area (18 countries)","Crude divorce rate","0.9",""
"1973","Euro area (18 countries)","Crude divorce rate","0.9",""
"1974","Euro area (18 countries)","Crude divorce rate","1.0",""
"1975","Euro area (18 countries)","Crude divorce rate","1.0",""
"1976","Euro area (18 countries)","Crude divorce rate","1.1",""
"1977","Euro area (18 countries)","Crude divorce rate","1.0",""
"1978","Euro area (18 countries)","Crude divorce rate","0.9",""
"1979","Euro area (18 countries)","Crude divorce rate","1.1",""
"1980","Euro area (18 countries)","Crude divorce rate","1.1",""
"1981","Euro area (18 countries)","Crude divorce rate","1.3",""
"1982","Euro area (18 countries)","Crude divorce rate","1.4",""
"1983","Euro area (18 countries)","Crude divorce rate","1.4",""
"1984","Euro area (18 countries)","Crude divorce rate","1.5",""
"1985","Euro area (18 countries)","Crude divorce rate","1.5",""
"1986","Euro area (18 countries)","Crude divorce rate","1.5",""
"1987","Euro area (18 countries)","Crude divorce rate","1.5",""
"1988","Euro area (18 countries)","Crude divorce rate","1.5",""
"1989","Euro area (18 countries)","Crude divorce rate","1.5",""
"1990","Euro area (18 countries)","Crude divorce rate","1.4",""
"1991","Euro area (18 countries)","Crude divorce rate","1.4",""
"1992","Euro area (18 countries)","Crude divorce rate","1.4",""
"1993","Euro area (18 countries)","Crude divorce rate","1.4",""
"1994","Euro area (18 countries)","Crude divorce rate","1.5",""
"1995","Euro area (18 countries)","Crude divorce rate","1.6",""
"1996","Euro area (18 countries)","Crude divorce rate","1.6",""
"1997","Euro area (18 countries)","Crude divorce rate","1.6",""
"1998","Euro area (18 countries)","Crude divorce rate","1.6","b"
"1999","Euro area (18 countries)","Crude divorce rate","1.7",""
"2000","Euro area (18 countries)","Crude divorce rate","1.7",""
"2001","Euro area (18 countries)","Crude divorce rate","1.7",""
"2002","Euro area (18 countries)","Crude divorce rate","1.8",""
"2003","Euro area (18 countries)","Crude divorce rate","1.8",""
"2004","Euro area (18 countries)","Crude divorce rate","1.9",""
"2005","Euro area (18 countries)","Crude divorce rate","2.0",""
"2006","Euro area (18 countries)","Crude divorce rate","2.1",""
"2007","Euro area (18 countries)","Crude divorce rate","2.0",""
"2008","Euro area (18 countries)","Crude divorce rate","2.0",""
"2009","Euro area (18 countries)","Crude divorce rate","1.9",""
"2010","Euro area (18 countries)","Crude divorce rate","1.9",""
"2011","Euro area (18 countries)","Crude divorce rate",":",""
"2012","Euro area (18 countries)","Crude divorce rate",":",""
"1960","Euro area (17 countries)","Crude divorce rate",":",""
"1961","Euro area (17 countries)","Crude divorce rate",":",""
"1962","Euro area (17 countries)","Crude divorce rate",":",""
"1963","Euro area (17 countries)","Crude divorce rate",":",""
"1964","Euro area (17 countries)","Crude divorce rate","0.6",""
"1965","Euro area (17 countries)","Crude divorce rate","0.6",""
"1966","Euro area (17 countries)","Crude divorce rate","0.6",""
"1967","Euro area (17 countries)","Crude divorce rate","0.6",""
"1968","Euro area (17 countries)","Crude divorce rate","0.6",""
"1969","Euro area (17 countries)","Crude divorce rate","0.7",""
"1970","Euro area (17 countries)","Crude divorce rate","0.7",""
"1971","Euro area (17 countries)","Crude divorce rate","0.8",""
"1972","Euro area (17 countries)","Crude divorce rate","0.9",""
"1973","Euro area (17 countries)","Crude divorce rate","0.9",""
"1974","Euro area (17 countries)","Crude divorce rate","1.0",""
"1975","Euro area (17 countries)","Crude divorce rate","1.0",""
"1976","Euro area (17 countries)","Crude divorce rate","1.0",""
"1977","Euro area (17 countries)","Crude divorce rate","1.0",""
"1978","Euro area (17 countries)","Crude divorce rate","0.9",""
"1979","Euro area (17 countries)","Crude divorce rate","1.0",""
"1980","Euro area (17 countries)","Crude divorce rate","1.1",""
"1981","Euro area (17 countries)","Crude divorce rate","1.2",""
"1982","Euro area (17 countries)","Crude divorce rate","1.3",""
"1983","Euro area (17 countries)","Crude divorce rate","1.4",""
"1984","Euro area (17 countries)","Crude divorce rate","1.4",""
"1985","Euro area (17 countries)","Crude divorce rate","1.4",""
"1986","Euro area (17 countries)","Crude divorce rate","1.4",""
"1987","Euro area (17 countries)","Crude divorce rate","1.5",""
"1988","Euro area (17 countries)","Crude divorce rate","1.5",""
"1989","Euro area (17 countries)","Crude divorce rate","1.5",""
"1990","Euro area (17 countries)","Crude divorce rate","1.4",""
"1991","Euro area (17 countries)","Crude divorce rate","1.3",""
"1992","Euro area (17 countries)","Crude divorce rate","1.4",""
"1993","Euro area (17 countries)","Crude divorce rate","1.4",""
"1994","Euro area (17 countries)","Crude divorce rate","1.5",""
"1995","Euro area (17 countries)","Crude divorce rate","1.6",""
"1996","Euro area (17 countries)","Crude divorce rate","1.6",""
"1997","Euro area (17 countries)","Crude divorce rate","1.6",""
"1998","Euro area (17 countries)","Crude divorce rate","1.6","b"
"1999","Euro area (17 countries)","Crude divorce rate","1.7",""
"2000","Euro area (17 countries)","Crude divorce rate","1.7",""
"2001","Euro area (17 countries)","Crude divorce rate","1.7",""
"2002","Euro area (17 countries)","Crude divorce rate","1.8",""
"2003","Euro area (17 countries)","Crude divorce rate","1.8",""
"2004","Euro area (17 countries)","Crude divorce rate","1.9",""
"2005","Euro area (17 countries)","Crude divorce rate","2.0",""
"2006","Euro area (17 countries)","Crude divorce rate","2.0",""
"2007","Euro area (17 countries)","Crude divorce rate","2.0",""
"2008","Euro area (17 countries)","Crude divorce rate","2.0",""
"2009","Euro area (17 countries)","Crude divorce rate","1.9",""
"2010","Euro area (17 countries)","Crude divorce rate","1.9",""
"2011","Euro area (17 countries)","Crude divorce rate",":",""
"2012","Euro area (17 countries)","Crude divorce rate",":",""
"1960","Euro area (16 countries)","Crude divorce rate",":",""
"1961","Euro area (16 countries)","Crude divorce rate",":",""
"1962","Euro area (16 countries)","Crude divorce rate",":",""
"1963","Euro area (16 countries)","Crude divorce rate",":",""
"1964","Euro area (16 countries)","Crude divorce rate","0.6",""
"1965","Euro area (16 countries)","Crude divorce rate","0.6",""
"1966","Euro area (16 countries)","Crude divorce rate","0.6",""
"1967","Euro area (16 countries)","Crude divorce rate","0.6",""
"1968","Euro area (16 countries)","Crude divorce rate","0.6",""
"1969","Euro area (16 countries)","Crude divorce rate","0.6",""
"1970","Euro area (16 countries)","Crude divorce rate","0.7",""
"1971","Euro area (16 countries)","Crude divorce rate","0.8",""
"1972","Euro area (16 countries)","Crude divorce rate","0.9",""
"1973","Euro area (16 countries)","Crude divorce rate","0.9",""
"1974","Euro area (16 countries)","Crude divorce rate","1.0",""
"1975","Euro area (16 countries)","Crude divorce rate","1.0",""
"1976","Euro area (16 countries)","Crude divorce rate","1.0",""
"1977","Euro area (16 countries)","Crude divorce rate","1.0",""
"1978","Euro area (16 countries)","Crude divorce rate","0.9",""
"1979","Euro area (16 countries)","Crude divorce rate","1.0",""
"1980","Euro area (16 countries)","Crude divorce rate","1.1",""
"1981","Euro area (16 countries)","Crude divorce rate","1.2",""
"1982","Euro area (16 countries)","Crude divorce rate","1.3",""
"1983","Euro area (16 countries)","Crude divorce rate","1.4",""
"1984","Euro area (16 countries)","Crude divorce rate","1.4",""
"1985","Euro area (16 countries)","Crude divorce rate","1.4",""
"1986","Euro area (16 countries)","Crude divorce rate","1.4",""
"1987","Euro area (16 countries)","Crude divorce rate","1.5",""
"1988","Euro area (16 countries)","Crude divorce rate","1.5",""
"1989","Euro area (16 countries)","Crude divorce rate","1.5",""
"1990","Euro area (16 countries)","Crude divorce rate","1.4",""
"1991","Euro area (16 countries)","Crude divorce rate","1.3",""
"1992","Euro area (16 countries)","Crude divorce rate","1.3",""
"1993","Euro area (16 countries)","Crude divorce rate","1.4",""
"1994","Euro area (16 countries)","Crude divorce rate","1.5",""
"1995","Euro area (16 countries)","Crude divorce rate","1.6",""
"1996","Euro area (16 countries)","Crude divorce rate","1.6",""
"1997","Euro area (16 countries)","Crude divorce rate","1.6",""
"1998","Euro area (16 countries)","Crude divorce rate","1.6","b"
"1999","Euro area (16 countries)","Crude divorce rate","1.7",""
"2000","Euro area (16 countries)","Crude divorce rate","1.7",""
"2001","Euro area (16 countries)","Crude divorce rate","1.7",""
"2002","Euro area (16 countries)","Crude divorce rate","1.8",""
"2003","Euro area (16 countries)","Crude divorce rate","1.8",""
"2004","Euro area (16 countries)","Crude divorce rate","1.9",""
"2005","Euro area (16 countries)","Crude divorce rate","2.0",""
"2006","Euro area (16 countries)","Crude divorce rate","2.0",""
"2007","Euro area (16 countries)","Crude divorce rate","2.0",""
"2008","Euro area (16 countries)","Crude divorce rate","2.0",""
"2009","Euro area (16 countries)","Crude divorce rate","1.9",""
"2010","Euro area (16 countries)","Crude divorce rate","1.9",""
"2011","Euro area (16 countries)","Crude divorce rate",":",""
"2012","Euro area (16 countries)","Crude divorce rate",":",""
"1960","Belgium","Crude divorce rate","0.5",""
"1961","Belgium","Crude divorce rate","0.5",""
"1962","Belgium","Crude divorce rate","0.5",""
"1963","Belgium","Crude divorce rate","0.6",""
"1964","Belgium","Crude divorce rate","0.6",""
"1965","Belgium","Crude divorce rate","0.6",""
"1966","Belgium","Crude divorce rate","0.6",""
"1967","Belgium","Crude divorce rate","0.6",""
"1968","Belgium","Crude divorce rate","0.6",""
"1969","Belgium","Crude divorce rate","0.7",""
"1970","Belgium","Crude divorce rate","0.7",""
"1971","Belgium","Crude divorce rate","0.7",""
"1972","Belgium","Crude divorce rate","0.8",""
"1973","Belgium","Crude divorce rate","0.9",""
"1974","Belgium","Crude divorce rate","1.0",""
"1975","Belgium","Crude divorce rate","1.1",""
"1976","Belgium","Crude divorce rate","1.3",""
"1977","Belgium","Crude divorce rate","1.3",""
"1978","Belgium","Crude divorce rate","1.4",""
"1979","Belgium","Crude divorce rate","1.4",""
"1980","Belgium","Crude divorce rate","1.5",""
"1981","Belgium","Crude divorce rate","1.6",""
"1982","Belgium","Crude divorce rate","1.6",""
"1983","Belgium","Crude divorce rate","1.7",""
"1984","Belgium","Crude divorce rate","1.9",""
"1985","Belgium","Crude divorce rate","1.9",""
"1986","Belgium","Crude divorce rate","1.9",""
"1987","Belgium","Crude divorce rate","2.0",""
"1988","Belgium","Crude divorce rate","2.1",""
"1989","Belgium","Crude divorce rate","2.0",""
"1990","Belgium","Crude divorce rate","2.0",""
"1991","Belgium","Crude divorce rate","2.1",""
"1992","Belgium","Crude divorce rate","2.2",""
"1993","Belgium","Crude divorce rate","2.1",""
"1994","Belgium","Crude divorce rate","2.2",""
"1995","Belgium","Crude divorce rate","3.5",""
"1996","Belgium","Crude divorce rate","2.8",""
"1997","Belgium","Crude divorce rate","2.6",""
"1998","Belgium","Crude divorce rate","2.6",""
"1999","Belgium","Crude divorce rate","2.6",""
"2000","Belgium","Crude divorce rate","2.6",""
"2001","Belgium","Crude divorce rate","2.8",""
"2002","Belgium","Crude divorce rate","3.0",""
"2003","Belgium","Crude divorce rate","3.0",""
"2004","Belgium","Crude divorce rate","3.0",""
"2005","Belgium","Crude divorce rate","2.9",""
"2006","Belgium","Crude divorce rate","2.8",""
"2007","Belgium","Crude divorce rate","2.8",""
"2008","Belgium","Crude divorce rate","3.3",""
"2009","Belgium","Crude divorce rate","3.0",""
"2010","Belgium","Crude divorce rate","2.6",""
"2011","Belgium","Crude divorce rate",":",""
"2012","Belgium","Crude divorce rate","2.5",""
"1960","Bulgaria","Crude divorce rate",":",""
"1961","Bulgaria","Crude divorce rate","1.1",""
"1962","Bulgaria","Crude divorce rate","1.0",""
"1963","Bulgaria","Crude divorce rate","1.0",""
"1964","Bulgaria","Crude divorce rate","1.1",""
"1965","Bulgaria","Crude divorce rate","1.1",""
"1966","Bulgaria","Crude divorce rate","1.0",""
"1967","Bulgaria","Crude divorce rate","1.2",""
"1968","Bulgaria","Crude divorce rate","1.2",""
"1969","Bulgaria","Crude divorce rate","1.1",""
"1970","Bulgaria","Crude divorce rate","1.2",""
"1971","Bulgaria","Crude divorce rate","1.1",""
"1972","Bulgaria","Crude divorce rate","1.2",""
"1973","Bulgaria","Crude divorce rate","1.3",""
"1974","Bulgaria","Crude divorce rate","1.3",""
"1975","Bulgaria","Crude divorce rate","1.3",""
"1976","Bulgaria","Crude divorce rate","1.3",""
"1977","Bulgaria","Crude divorce rate","1.5",""
"1978","Bulgaria","Crude divorce rate","1.4",""
"1979","Bulgaria","Crude divorce rate","1.4",""
"1980","Bulgaria","Crude divorce rate","1.5",""
"1981","Bulgaria","Crude divorce rate","1.5",""
"1982","Bulgaria","Crude divorce rate","1.5",""
"1983","Bulgaria","Crude divorce rate","1.6",""
"1984","Bulgaria","Crude divorce rate","1.5",""
"1985","Bulgaria","Crude divorce rate","1.6",""
"1986","Bulgaria","Crude divorce rate","1.1",""
"1987","Bulgaria","Crude divorce rate","1.3",""
"1988","Bulgaria","Crude divorce rate","1.4",""
"1989","Bulgaria","Crude divorce rate","1.4",""
"1990","Bulgaria","Crude divorce rate","1.3",""
"1991","Bulgaria","Crude divorce rate","1.3",""
"1992","Bulgaria","Crude divorce rate","1.1",""
"1993","Bulgaria","Crude divorce rate","0.9",""
"1994","Bulgaria","Crude divorce rate","0.9",""
"1995","Bulgaria","Crude divorce rate","1.3",""
"1996","Bulgaria","Crude divorce rate","1.2",""
"1997","Bulgaria","Crude divorce rate","1.1",""
"1998","Bulgaria","Crude divorce rate","1.3",""
"1999","Bulgaria","Crude divorce rate","1.2",""
"2000","Bulgaria","Crude divorce rate","1.3",""
"2001","Bulgaria","Crude divorce rate","1.3",""
"2002","Bulgaria","Crude divorce rate","1.3",""
"2003","Bulgaria","Crude divorce rate","1.5",""
"2004","Bulgaria","Crude divorce rate","1.9",""
"2005","Bulgaria","Crude divorce rate","1.9",""
"2006","Bulgaria","Crude divorce rate","1.9",""
"2007","Bulgaria","Crude divorce rate","2.2",""
"2008","Bulgaria","Crude divorce rate","1.9",""
"2009","Bulgaria","Crude divorce rate","1.6",""
"2010","Bulgaria","Crude divorce rate","1.5",""
"2011","Bulgaria","Crude divorce rate","1.4",""
"2012","Bulgaria","Crude divorce rate","1.6",""
"1960","Czech Republic","Crude divorce rate","1.4",""
"1961","Czech Republic","Crude divorce rate","1.5",""
"1962","Czech Republic","Crude divorce rate","1.5",""
"1963","Czech Republic","Crude divorce rate","1.5",""
"1964","Czech Republic","Crude divorce rate","1.5",""
"1965","Czech Republic","Crude divorce rate","1.7",""
"1966","Czech Republic","Crude divorce rate","1.8",""
"1967","Czech Republic","Crude divorce rate","1.8",""
"1968","Czech Republic","Crude divorce rate","1.9",""
"1969","Czech Republic","Crude divorce rate","2.1",""
"1970","Czech Republic","Crude divorce rate","2.2",""
"1971","Czech Republic","Crude divorce rate","2.4",""
"1972","Czech Republic","Crude divorce rate","2.3",""
"1973","Czech Republic","Crude divorce rate","2.5",""
"1974","Czech Republic","Crude divorce rate","2.5",""
"1975","Czech Republic","Crude divorce rate","2.6",""
"1976","Czech Republic","Crude divorce rate","2.5",""
"1977","Czech Republic","Crude divorce rate","2.5",""
"1978","Czech Republic","Crude divorce rate","2.6",""
"1979","Czech Republic","Crude divorce rate","2.5",""
"1980","Czech Republic","Crude divorce rate","2.6",""
"1981","Czech Republic","Crude divorce rate","2.7",""
"1982","Czech Republic","Crude divorce rate","2.7",""
"1983","Czech Republic","Crude divorce rate","2.8",""
"1984","Czech Republic","Crude divorce rate","3.0",""
"1985","Czech Republic","Crude divorce rate","2.9",""
"1986","Czech Republic","Crude divorce rate","2.9",""
"1987","Czech Republic","Crude divorce rate","3.0",""
"1988","Czech Republic","Crude divorce rate","3.0",""
"1989","Czech Republic","Crude divorce rate","3.0",""
"1990","Czech Republic","Crude divorce rate","3.1",""
"1991","Czech Republic","Crude divorce rate","2.8",""
"1992","Czech Republic","Crude divorce rate","2.8",""
"1993","Czech Republic","Crude divorce rate","2.9",""
"1994","Czech Republic","Crude divorce rate","3.0",""
"1995","Czech Republic","Crude divorce rate","3.0",""
"1996","Czech Republic","Crude divorce rate","3.2",""
"1997","Czech Republic","Crude divorce rate","3.2",""
"1998","Czech Republic","Crude divorce rate","3.1",""
"1999","Czech Republic","Crude divorce rate","2.3",""
"2000","Czech Republic","Crude divorce rate","2.9",""
"2001","Czech Republic","Crude divorce rate","3.1",""
"2002","Czech Republic","Crude divorce rate","3.1",""
"2003","Czech Republic","Crude divorce rate","3.8",""
"2004","Czech Republic","Crude divorce rate","3.2",""
"2005","Czech Republic","Crude divorce rate","3.1",""
"2006","Czech Republic","Crude divorce rate","3.1",""
"2007","Czech Republic","Crude divorce rate","3.0",""
"2008","Czech Republic","Crude divorce rate","3.0",""
"2009","Czech Republic","Crude divorce rate","2.8",""
"2010","Czech Republic","Crude divorce rate","2.9",""
"2011","Czech Republic","Crude divorce rate","2.7",""
"2012","Czech Republic","Crude divorce rate","2.5",""
"1960","Denmark","Crude divorce rate","1.5",""
"1961","Denmark","Crude divorce rate","1.4",""
"1962","Denmark","Crude divorce rate","1.4",""
"1963","Denmark","Crude divorce rate","1.4",""
"1964","Denmark","Crude divorce rate","1.4",""
"1965","Denmark","Crude divorce rate","1.4",""
"1966","Denmark","Crude divorce rate","1.4",""
"1967","Denmark","Crude divorce rate","1.4",""
"1968","Denmark","Crude divorce rate","1.6",""
"1969","Denmark","Crude divorce rate","1.8",""
"1970","Denmark","Crude divorce rate","1.9",""
"1971","Denmark","Crude divorce rate","2.7",""
"1972","Denmark","Crude divorce rate","2.6",""
"1973","Denmark","Crude divorce rate","2.5",""
"1974","Denmark","Crude divorce rate","2.6",""
"1975","Denmark","Crude divorce rate","2.6",""
"1976","Denmark","Crude divorce rate","2.6",""
"1977","Denmark","Crude divorce rate","2.6",""
"1978","Denmark","Crude divorce rate","2.6",""
"1979","Denmark","Crude divorce rate","2.5",""
"1980","Denmark","Crude divorce rate","2.7",""
"1981","Denmark","Crude divorce rate","2.8",""
"1982","Denmark","Crude divorce rate","2.9",""
"1983","Denmark","Crude divorce rate","2.9",""
"1984","Denmark","Crude divorce rate","2.8",""
"1985","Denmark","Crude divorce rate","2.8",""
"1986","Denmark","Crude divorce rate","2.8",""
"1987","Denmark","Crude divorce rate","2.8",""
"1988","Denmark","Crude divorce rate","2.9",""
"1989","Denmark","Crude divorce rate","3.0",""
"1990","Denmark","Crude divorce rate","2.7",""
"1991","Denmark","Crude divorce rate","2.5",""
"1992","Denmark","Crude divorce rate","2.5",""
"1993","Denmark","Crude divorce rate","2.5",""
"1994","Denmark","Crude divorce rate","2.6",""
"1995","Denmark","Crude divorce rate","2.5",""
"1996","Denmark","Crude divorce rate","2.4",""
"1997","Denmark","Crude divorce rate","2.4",""
"1998","Denmark","Crude divorce rate","2.5",""
"1999","Denmark","Crude divorce rate","2.5",""
"2000","Denmark","Crude divorce rate","2.7",""
"2001","Denmark","Crude divorce rate","2.7",""
"2002","Denmark","Crude divorce rate","2.8",""
"2003","Denmark","Crude divorce rate","2.9",""
"2004","Denmark","Crude divorce rate","2.9",""
"2005","Denmark","Crude divorce rate","2.8",""
"2006","Denmark","Crude divorce rate","2.6",""
"2007","Denmark","Crude divorce rate","2.6",""
"2008","Denmark","Crude divorce rate","2.7",""
"2009","Denmark","Crude divorce rate","2.7",""
"2010","Denmark","Crude divorce rate","2.6",""
"2011","Denmark","Crude divorce rate","2.6",""
"2012","Denmark","Crude divorce rate","2.8",""
"1960","Germany (until 1990 former territory of the FRG)","Crude divorce rate","0.9",""
"1961","Germany (until 1990 former territory of the FRG)","Crude divorce rate","0.9",""
"1962","Germany (until 1990 former territory of the FRG)","Crude divorce rate","0.9",""
"1963","Germany (until 1990 former territory of the FRG)","Crude divorce rate","0.9",""
"1964","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.0",""
"1965","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.0",""
"1966","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.0",""
"1967","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.0",""
"1968","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.1",""
"1969","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.2",""
"1970","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.3",""
"1971","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.3",""
"1972","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.4",""
"1973","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.5",""
"1974","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.6",""
"1975","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.7",""
"1976","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.8",""
"1977","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.2",""
"1978","Germany (until 1990 former territory of the FRG)","Crude divorce rate","0.5",""
"1979","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.3",""
"1980","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.6",""
"1981","Germany (until 1990 former territory of the FRG)","Crude divorce rate","1.8",""
